Check Number,Check Category,Check Description,Check Query,Check Table Name,Check Column Name,Check Status,Rows Scanned,Rows Failed,Check Run Date,Remarks
2623,consistency,Check for consistency,SELECT * FROM payments WHERE condition,discounts,column_8,fail,728,689,2023-08-09 15:33:18,Remark
517,uniqueness,Check for uniqueness,SELECT * FROM admins WHERE condition,refunds,column_7,pass,170,114,2023-01-25 19:27:48,Remark
2584,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,products,column_9,pass,906,39,2023-07-12 01:50:40,Remark
5113,uniqueness,Check for uniqueness,SELECT * FROM users WHERE condition,invoice_payments,column_7,pass,562,85,2023-11-22 05:35:05,
242,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,subscribers,column_6,pass,219,3,2023-10-06 13:56:44,
8657,datafreshness,Check for datafreshness,SELECT * FROM sales WHERE condition,payments,column_2,pass,895,309,2023-04-19 17:37:41,
1642,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,discounts,column_2,pass,282,231,2023-11-07 14:54:18,
4203,consistency,Check for consistency,SELECT * FROM discounts WHERE condition,product_webinars,column_6,pass,893,158,2023-04-19 02:58:03,
694,accuracy,Check for accuracy,SELECT * FROM payments WHERE condition,discounts,column_5,fail,970,375,2023-08-09 09:10:59,
9955,uniqueness,Check for uniqueness,SELECT * FROM admins WHERE condition,discounts,column_8,fail,382,275,2023-03-11 05:46:03,
6154,datafreshness,Check for datafreshness,SELECT * FROM invoices WHERE condition,users,column_3,pass,278,170,2023-05-12 01:49:52,Remark
1536,completeness,Check for completeness,SELECT * FROM invoice_payments WHERE condition,refunds,column_1,pass,277,83,2023-02-28 00:39:30,Remark
5914,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,orders,column_5,pass,490,374,2023-04-04 02:13:21,
5045,consistency,Check for consistency,SELECT * FROM product_webinars WHERE condition,admins,column_2,fail,413,168,2023-04-27 04:59:01,Remark
1781,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,products,column_8,fail,862,817,2023-11-12 11:27:06,Remark
2037,uniqueness,Check for uniqueness,SELECT * FROM sales WHERE condition,admins,column_8,fail,39,19,2023-05-11 03:11:23,
2729,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,invoice_payments,column_2,pass,828,86,2023-03-18 21:52:09,
1002,uniqueness,Check for uniqueness,SELECT * FROM users WHERE condition,sales,column_7,fail,460,250,2023-11-03 03:23:01,
6932,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,payments,column_5,pass,442,98,2023-05-20 05:39:07,
1047,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,products,column_4,pass,510,203,2023-04-10 14:33:49,
690,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,orders,column_2,pass,470,193,2023-05-21 10:44:55,
1717,datafreshness,Check for datafreshness,SELECT * FROM products WHERE condition,orders,column_10,fail,654,433,2023-07-22 10:12:11,Remark
5284,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,discounts,column_4,pass,10,5,2023-10-02 00:36:36,Remark
5273,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,orders,column_5,pass,863,388,2023-08-15 09:28:15,Remark
7708,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,sales,column_9,pass,68,28,2023-02-20 16:17:37,
4923,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,products,column_6,pass,820,152,2023-09-12 19:08:34,Remark
6084,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,product_webinars,column_9,pass,588,92,2023-09-21 12:44:36,
6986,consistency,Check for consistency,SELECT * FROM invoices WHERE condition,product_webinars,column_10,fail,846,493,2023-11-04 05:01:44,Remark
9953,datafreshness,Check for datafreshness,SELECT * FROM payments WHERE condition,invoice_payments,column_1,pass,759,186,2023-04-28 10:57:51,Remark
5451,accuracy,Check for accuracy,SELECT * FROM products WHERE condition,invoices,column_5,fail,394,196,2023-01-25 04:17:37,
2087,consistency,Check for consistency,SELECT * FROM invoices WHERE condition,admins,column_6,pass,965,36,2023-07-06 22:19:28,Remark
2309,uniqueness,Check for uniqueness,SELECT * FROM refunds WHERE condition,admins,column_2,pass,830,361,2023-06-09 16:06:15,
7640,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,users,column_2,fail,797,155,2023-01-08 20:32:21,
9803,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,discounts,column_6,pass,717,562,2023-09-10 01:02:46,Remark
3195,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,invoice_payments,column_8,pass,903,61,2023-08-25 22:43:41,Remark
5536,accuracy,Check for accuracy,SELECT * FROM discounts WHERE condition,admins,column_10,fail,808,130,2023-05-31 13:07:10,Remark
1992,datafreshness,Check for datafreshness,SELECT * FROM invoice_payments WHERE condition,payments,column_1,fail,456,190,2023-10-21 20:10:27,
7463,completeness,Check for completeness,SELECT * FROM invoice_payments WHERE condition,discounts,column_2,pass,924,40,2023-07-08 19:23:13,Remark
437,datafreshness,Check for datafreshness,SELECT * FROM discounts WHERE condition,refunds,column_10,pass,236,23,2023-10-29 12:02:16,Remark
8309,completeness,Check for completeness,SELECT * FROM sales WHERE condition,orders,column_7,fail,946,86,2023-02-10 16:28:37,Remark
1031,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,invoice_payments,column_3,pass,811,457,2023-06-17 10:00:56,Remark
494,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,admins,column_5,pass,361,36,2023-02-17 03:19:29,Remark
482,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,orders,column_1,pass,839,374,2023-01-28 09:16:18,
3408,accuracy,Check for accuracy,SELECT * FROM payments WHERE condition,discounts,column_2,pass,301,188,2023-09-25 18:17:36,
9910,consistency,Check for consistency,SELECT * FROM orders WHERE condition,orders,column_8,pass,489,176,2023-10-02 18:11:45,Remark
2133,accuracy,Check for accuracy,SELECT * FROM payments WHERE condition,purchase_transactions,column_6,fail,984,299,2023-04-26 02:09:03,Remark
3016,datafreshness,Check for datafreshness,SELECT * FROM sales WHERE condition,sales,column_9,fail,161,96,2023-02-27 01:27:27,
3651,completeness,Check for completeness,SELECT * FROM product_webinars WHERE condition,payments,column_4,pass,299,190,2023-06-13 00:40:59,
2167,datafreshness,Check for datafreshness,SELECT * FROM users WHERE condition,subscribers,column_2,pass,136,107,2023-04-27 06:29:09,Remark
2332,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,invoices,column_6,pass,255,227,2023-09-03 17:55:39,Remark
8671,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,subscribers,column_1,fail,986,745,2023-05-05 12:52:13,Remark
3343,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,products,column_2,pass,816,111,2023-04-18 13:32:59,
9146,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,orders,column_8,fail,190,107,2023-06-17 15:53:21,
4063,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,product_webinars,column_3,fail,474,323,2023-09-05 12:05:57,
7919,consistency,Check for consistency,SELECT * FROM invoices WHERE condition,users,column_8,fail,8,3,2023-04-26 22:46:55,
4935,datafreshness,Check for datafreshness,SELECT * FROM refunds WHERE condition,orders,column_7,fail,95,86,2023-07-13 06:42:36,
8909,uniqueness,Check for uniqueness,SELECT * FROM invoices WHERE condition,discounts,column_1,pass,277,20,2023-01-01 02:21:36,Remark
6528,datafreshness,Check for datafreshness,SELECT * FROM refunds WHERE condition,admins,column_7,fail,105,95,2023-04-09 02:28:40,Remark
4644,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,sales,column_1,pass,812,268,2023-04-29 16:26:06,Remark
1937,datafreshness,Check for datafreshness,SELECT * FROM payments WHERE condition,invoice_payments,column_3,pass,425,148,2023-04-20 19:24:04,
9405,datafreshness,Check for datafreshness,SELECT * FROM discounts WHERE condition,payments,column_9,pass,421,324,2023-07-31 02:28:08,Remark
4565,completeness,Check for completeness,SELECT * FROM products WHERE condition,purchase_transactions,column_10,pass,161,31,2023-09-28 16:48:30,
6250,uniqueness,Check for uniqueness,SELECT * FROM refunds WHERE condition,products,column_3,fail,363,323,2023-07-03 13:33:44,Remark
3572,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,admins,column_9,fail,505,333,2023-01-24 09:18:38,Remark
4919,consistency,Check for consistency,SELECT * FROM admins WHERE condition,products,column_1,pass,27,11,2023-07-03 02:58:03,Remark
166,datafreshness,Check for datafreshness,SELECT * FROM sales WHERE condition,discounts,column_2,fail,7,5,2023-01-16 23:48:19,
62,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,admins,column_5,pass,145,73,2023-03-16 06:09:13,
7111,uniqueness,Check for uniqueness,SELECT * FROM admins WHERE condition,purchase_transactions,column_7,pass,339,215,2023-09-09 15:50:38,Remark
2426,uniqueness,Check for uniqueness,SELECT * FROM admins WHERE condition,orders,column_9,fail,133,53,2023-03-14 13:19:47,Remark
5721,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,invoice_payments,column_8,fail,748,225,2023-11-05 23:22:30,
7198,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,admins,column_1,fail,35,14,2023-09-03 21:37:34,
3060,completeness,Check for completeness,SELECT * FROM users WHERE condition,admins,column_3,pass,626,304,2023-08-26 20:58:36,
8391,completeness,Check for completeness,SELECT * FROM invoice_payments WHERE condition,purchase_transactions,column_7,fail,56,40,2023-09-28 14:41:37,Remark
9519,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,invoices,column_8,pass,346,136,2023-01-17 09:39:35,
862,consistency,Check for consistency,SELECT * FROM purchase_transactions WHERE condition,users,column_5,pass,144,16,2023-11-02 12:22:58,Remark
3640,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,product_webinars,column_4,fail,198,86,2023-08-25 05:56:32,
9935,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,purchase_transactions,column_6,fail,915,332,2023-04-10 05:25:52,
8553,accuracy,Check for accuracy,SELECT * FROM payments WHERE condition,purchase_transactions,column_2,pass,891,537,2023-05-15 06:35:51,
3304,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,admins,column_5,fail,530,393,2023-04-09 21:24:32,Remark
5636,consistency,Check for consistency,SELECT * FROM users WHERE condition,invoices,column_9,pass,10,7,2023-07-12 08:32:08,Remark
778,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,products,column_8,pass,88,10,2023-04-04 15:37:43,
2520,uniqueness,Check for uniqueness,SELECT * FROM payments WHERE condition,products,column_10,pass,838,437,2023-08-06 02:21:43,Remark
645,consistency,Check for consistency,SELECT * FROM payments WHERE condition,products,column_4,pass,861,285,2023-05-17 17:50:34,Remark
7125,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,invoices,column_10,pass,729,303,2023-10-29 22:29:34,Remark
8422,datafreshness,Check for datafreshness,SELECT * FROM products WHERE condition,product_webinars,column_5,fail,238,4,2023-02-16 02:38:45,
2828,uniqueness,Check for uniqueness,SELECT * FROM payments WHERE condition,payments,column_5,pass,760,548,2023-07-20 02:47:10,Remark
816,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,discounts,column_5,pass,995,754,2023-08-08 07:04:38,Remark
3762,datafreshness,Check for datafreshness,SELECT * FROM discounts WHERE condition,invoices,column_4,pass,67,66,2023-04-30 10:16:46,Remark
3828,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,products,column_5,pass,141,3,2023-08-03 19:28:40,Remark
6013,datafreshness,Check for datafreshness,SELECT * FROM discounts WHERE condition,users,column_3,fail,159,45,2023-07-18 05:58:02,
2222,consistency,Check for consistency,SELECT * FROM invoice_payments WHERE condition,invoice_payments,column_8,pass,241,187,2023-02-21 07:31:40,
6302,completeness,Check for completeness,SELECT * FROM refunds WHERE condition,refunds,column_3,fail,923,110,2023-08-28 05:41:32,
8626,datafreshness,Check for datafreshness,SELECT * FROM purchase_transactions WHERE condition,products,column_8,fail,13,3,2023-08-04 17:50:40,
8106,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,purchase_transactions,column_2,fail,141,102,2023-10-01 04:20:20,
5185,completeness,Check for completeness,SELECT * FROM subscribers WHERE condition,users,column_4,pass,323,127,2023-05-14 06:31:59,Remark
3702,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,discounts,column_3,fail,18,11,2023-08-11 18:16:30,
2478,completeness,Check for completeness,SELECT * FROM users WHERE condition,products,column_1,pass,248,11,2023-01-05 19:57:38,
5353,accuracy,Check for accuracy,SELECT * FROM users WHERE condition,purchase_transactions,column_7,pass,914,221,2023-06-24 08:40:27,Remark
2328,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,orders,column_6,fail,392,4,2023-06-08 22:48:26,Remark
8745,datafreshness,Check for datafreshness,SELECT * FROM invoice_payments WHERE condition,admins,column_8,pass,579,125,2023-06-08 19:32:21,Remark
2807,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,orders,column_10,pass,82,42,2023-04-03 04:32:46,
4044,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,orders,column_9,pass,736,80,2023-06-15 21:34:50,
7496,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,refunds,column_1,fail,349,192,2023-01-11 14:08:54,
8133,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,invoices,column_3,fail,242,129,2023-05-19 04:23:05,
6631,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,invoice_payments,column_8,fail,16,9,2023-07-25 23:08:45,Remark
9019,uniqueness,Check for uniqueness,SELECT * FROM users WHERE condition,invoice_payments,column_9,fail,957,703,2023-01-15 20:59:23,Remark
6473,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,purchase_transactions,column_8,pass,22,8,2023-10-15 08:54:47,
4161,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,invoice_payments,column_5,pass,781,541,2023-07-20 11:54:05,Remark
6326,completeness,Check for completeness,SELECT * FROM payments WHERE condition,sales,column_10,fail,825,248,2023-08-16 15:16:31,Remark
2664,consistency,Check for consistency,SELECT * FROM purchase_transactions WHERE condition,admins,column_1,pass,579,159,2023-05-14 19:43:45,Remark
4771,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,products,column_7,fail,175,0,2023-11-03 03:51:43,
9316,accuracy,Check for accuracy,SELECT * FROM products WHERE condition,orders,column_6,pass,972,738,2023-07-06 13:46:09,Remark
3075,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,subscribers,column_5,pass,543,173,2023-01-25 13:52:38,
9498,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,discounts,column_9,fail,773,445,2023-04-14 05:02:56,Remark
4669,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,invoice_payments,column_5,fail,551,539,2023-08-04 08:52:20,Remark
5608,consistency,Check for consistency,SELECT * FROM admins WHERE condition,invoice_payments,column_7,pass,866,6,2023-10-19 06:59:52,
9229,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,products,column_1,fail,652,628,2023-11-07 02:20:42,
258,completeness,Check for completeness,SELECT * FROM product_webinars WHERE condition,orders,column_4,fail,643,508,2023-01-08 10:24:41,
9365,consistency,Check for consistency,SELECT * FROM invoices WHERE condition,orders,column_7,pass,587,458,2023-04-02 22:31:00,Remark
8338,accuracy,Check for accuracy,SELECT * FROM payments WHERE condition,orders,column_8,pass,951,436,2023-09-04 12:17:20,Remark
4455,completeness,Check for completeness,SELECT * FROM subscribers WHERE condition,invoice_payments,column_6,fail,93,39,2023-01-12 16:52:21,Remark
180,completeness,Check for completeness,SELECT * FROM payments WHERE condition,invoice_payments,column_7,fail,447,397,2023-09-04 18:06:25,Remark
630,datafreshness,Check for datafreshness,SELECT * FROM products WHERE condition,purchase_transactions,column_10,pass,578,285,2023-05-08 10:15:40,
6523,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,orders,column_1,pass,580,355,2023-05-21 04:57:47,
1137,consistency,Check for consistency,SELECT * FROM admins WHERE condition,sales,column_9,fail,45,20,2023-11-23 18:05:22,
5158,uniqueness,Check for uniqueness,SELECT * FROM orders WHERE condition,invoice_payments,column_5,fail,687,145,2023-08-20 07:58:58,
6623,completeness,Check for completeness,SELECT * FROM product_webinars WHERE condition,users,column_3,pass,915,137,2023-07-06 18:14:46,
8514,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,admins,column_7,pass,353,299,2023-11-12 17:42:13,
1323,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,invoices,column_4,fail,336,129,2023-10-31 19:50:23,Remark
8478,uniqueness,Check for uniqueness,SELECT * FROM orders WHERE condition,invoice_payments,column_8,pass,40,40,2023-08-16 09:16:51,
8393,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,purchase_transactions,column_2,pass,664,467,2023-08-26 05:55:56,
7515,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,admins,column_6,pass,488,395,2023-08-04 21:33:03,
8904,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,purchase_transactions,column_1,pass,107,54,2023-08-24 22:41:28,Remark
9344,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,subscribers,column_9,fail,862,651,2023-02-16 03:43:55,
5192,accuracy,Check for accuracy,SELECT * FROM orders WHERE condition,admins,column_3,pass,346,311,2023-03-17 02:05:10,
6781,accuracy,Check for accuracy,SELECT * FROM admins WHERE condition,invoices,column_7,pass,615,172,2023-05-19 23:43:01,
6689,accuracy,Check for accuracy,SELECT * FROM products WHERE condition,purchase_transactions,column_10,fail,689,317,2023-08-07 13:04:37,Remark
6754,consistency,Check for consistency,SELECT * FROM users WHERE condition,products,column_5,pass,973,396,2023-01-25 21:23:15,Remark
1578,accuracy,Check for accuracy,SELECT * FROM users WHERE condition,purchase_transactions,column_1,pass,414,315,2023-09-26 04:35:49,
5289,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,product_webinars,column_8,fail,83,6,2023-07-28 00:16:52,Remark
4297,accuracy,Check for accuracy,SELECT * FROM discounts WHERE condition,product_webinars,column_2,pass,342,183,2023-02-08 05:57:18,Remark
542,consistency,Check for consistency,SELECT * FROM product_webinars WHERE condition,discounts,column_5,pass,1,1,2023-05-12 03:30:31,
8984,consistency,Check for consistency,SELECT * FROM orders WHERE condition,orders,column_3,pass,966,899,2023-08-31 14:46:24,Remark
391,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,discounts,column_7,pass,232,61,2023-09-04 20:53:25,Remark
5384,consistency,Check for consistency,SELECT * FROM payments WHERE condition,purchase_transactions,column_4,pass,900,430,2023-06-29 18:31:46,Remark
9264,consistency,Check for consistency,SELECT * FROM subscribers WHERE condition,refunds,column_1,pass,953,597,2023-01-03 04:32:30,Remark
2818,consistency,Check for consistency,SELECT * FROM users WHERE condition,users,column_6,pass,40,3,2023-10-29 19:16:35,
9389,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,invoice_payments,column_3,fail,807,27,2023-06-12 14:54:50,Remark
9307,completeness,Check for completeness,SELECT * FROM admins WHERE condition,payments,column_3,fail,523,221,2023-07-27 03:09:58,Remark
1197,consistency,Check for consistency,SELECT * FROM subscribers WHERE condition,refunds,column_6,pass,442,223,2023-04-06 09:34:52,Remark
6255,consistency,Check for consistency,SELECT * FROM subscribers WHERE condition,payments,column_8,fail,943,595,2023-01-27 19:17:29,Remark
4520,datafreshness,Check for datafreshness,SELECT * FROM purchase_transactions WHERE condition,product_webinars,column_1,fail,898,242,2023-04-18 07:08:00,
5269,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,sales,column_9,pass,148,100,2023-01-11 09:45:14,Remark
6441,uniqueness,Check for uniqueness,SELECT * FROM sales WHERE condition,admins,column_8,fail,166,43,2023-05-13 05:39:02,Remark
6736,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,invoices,column_9,pass,956,377,2023-05-15 03:33:18,
5860,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,product_webinars,column_1,pass,899,263,2023-03-10 16:48:25,Remark
4851,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,users,column_5,fail,36,26,2023-04-15 11:54:09,Remark
3411,completeness,Check for completeness,SELECT * FROM orders WHERE condition,orders,column_2,fail,170,7,2023-06-17 05:16:21,Remark
7595,accuracy,Check for accuracy,SELECT * FROM discounts WHERE condition,admins,column_2,fail,558,141,2023-03-07 17:21:57,
3400,consistency,Check for consistency,SELECT * FROM payments WHERE condition,users,column_9,pass,839,504,2023-05-19 15:14:23,Remark
5492,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,subscribers,column_5,pass,351,321,2023-07-14 18:53:30,Remark
8735,consistency,Check for consistency,SELECT * FROM subscribers WHERE condition,admins,column_9,fail,241,225,2023-05-28 00:29:46,Remark
6395,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,invoices,column_7,fail,833,100,2023-09-23 10:05:41,
2420,accuracy,Check for accuracy,SELECT * FROM refunds WHERE condition,refunds,column_9,pass,714,662,2023-09-29 02:29:25,
9762,datafreshness,Check for datafreshness,SELECT * FROM product_webinars WHERE condition,sales,column_5,pass,385,43,2023-11-05 02:32:13,
172,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,admins,column_8,fail,111,86,2023-06-25 18:48:14,Remark
9573,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,products,column_4,pass,576,564,2023-11-18 06:27:08,
8323,consistency,Check for consistency,SELECT * FROM users WHERE condition,discounts,column_3,fail,623,213,2023-06-20 04:11:03,Remark
4328,accuracy,Check for accuracy,SELECT * FROM refunds WHERE condition,orders,column_7,pass,907,451,2023-08-08 09:38:37,
6145,accuracy,Check for accuracy,SELECT * FROM discounts WHERE condition,refunds,column_7,fail,239,129,2023-06-26 21:47:56,
7864,datafreshness,Check for datafreshness,SELECT * FROM sales WHERE condition,invoices,column_9,fail,565,403,2023-07-03 13:41:07,Remark
2966,consistency,Check for consistency,SELECT * FROM product_webinars WHERE condition,purchase_transactions,column_3,fail,873,623,2023-11-19 23:06:40,
7487,accuracy,Check for accuracy,SELECT * FROM sales WHERE condition,products,column_7,fail,570,94,2023-04-14 02:53:13,Remark
3763,accuracy,Check for accuracy,SELECT * FROM invoices WHERE condition,orders,column_6,pass,142,14,2023-11-16 14:53:52,
9610,datafreshness,Check for datafreshness,SELECT * FROM payments WHERE condition,users,column_1,fail,572,502,2023-10-05 08:03:25,
7750,datafreshness,Check for datafreshness,SELECT * FROM purchase_transactions WHERE condition,invoice_payments,column_6,pass,703,5,2023-04-04 20:42:19,
8155,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,payments,column_1,fail,364,260,2023-05-13 09:09:15,
1270,completeness,Check for completeness,SELECT * FROM refunds WHERE condition,subscribers,column_4,fail,987,390,2023-10-22 10:47:24,
3796,completeness,Check for completeness,SELECT * FROM payments WHERE condition,admins,column_8,fail,290,196,2023-08-26 20:08:07,
1958,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,product_webinars,column_8,pass,672,382,2023-09-03 12:09:12,Remark
7077,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,subscribers,column_5,pass,492,462,2023-04-24 03:39:57,
7308,consistency,Check for consistency,SELECT * FROM purchase_transactions WHERE condition,payments,column_3,fail,512,234,2023-02-12 17:02:24,Remark
6369,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,products,column_10,pass,692,408,2023-07-15 01:03:00,Remark
7974,consistency,Check for consistency,SELECT * FROM purchase_transactions WHERE condition,product_webinars,column_1,pass,484,162,2023-06-03 02:50:52,
7068,accuracy,Check for accuracy,SELECT * FROM refunds WHERE condition,invoice_payments,column_1,fail,96,33,2023-03-19 18:56:47,Remark
2926,accuracy,Check for accuracy,SELECT * FROM orders WHERE condition,invoice_payments,column_6,pass,240,11,2023-01-04 03:25:36,Remark
8759,accuracy,Check for accuracy,SELECT * FROM orders WHERE condition,sales,column_10,pass,84,59,2023-03-18 18:44:56,
8524,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,sales,column_9,pass,949,239,2023-03-30 03:19:28,Remark
